,q,p,mae
0,0.01,0.01,0.0724599465347615
1,0.05,0.01,0.07815199403517067
2,0.1,0.01,0.06449471712524323
3,0.3,0.01,0.07598792485769881
4,0.5,0.01,0.053865318518249106
5,0.7,0.01,0.04954627289094182
6,1,0.01,0.0789612467948135
7,1.5,0.01,0.14009165469457527
8,2,0.01,0.08104348142355744
9,0.01,0.05,0.08088890505373802
10,0.01,0.05,0.17181618141810182
11,0.05,0.05,0.08197093964247396
12,0.1,0.05,0.06564949353507064
13,0.3,0.05,0.050555565658586266
14,0.5,0.05,0.06474931349906345
15,0.7,0.05,0.08624452163159904
16,1,0.05,0.0554383603993526
17,1.5,0.05,0.109976540762698
18,2,0.05,0.10446634781501755
19,0.01,0.1,0.06193966065940461
20,0.05,0.1,0.08822673625634218
21,0.1,0.1,0.05585662587062867
22,0.3,0.1,0.08445325428722109
23,0.5,0.1,0.06207605157395115
24,0.7,0.1,0.06334903344305225
25,1,0.1,0.06266707887031951
26,1.5,0.1,0.08114350142755825
27,2,0.1,0.07204168106348542
28,0.01,0.3,0.057029587735728964
29,0.05,0.3,0.06512211533215734
30,0.1,0.3,0.07391478295659132
31,0.3,0.3,0.05755696593864228
32,0.5,0.3,0.09147284002254996
33,0.7,0.3,0.08372583607630617
34,1,0.3,0.11134044990816346
35,1.5,0.3,0.06088490425357799
36,2,0.3,0.09469166560584845
37,0.01,0.5,0.07491498299659932
38,0.05,0.5,0.06726799905435632
39,0.1,0.5,0.05590208950881085
40,0.3,0.5,0.05837531142592155
41,0.5,0.5,0.0727327283638546
42,0.7,0.5,0.059430067831748166
43,1,0.5,0.08757205986651875
44,1.5,0.5,0.1187783011147684
45,2,0.5,0.07888850497372202
46,0.01,0.7,0.08649002527778282
47,0.05,0.7,0.10269326592591245
48,0.1,0.7,0.06343996071941661
49,0.3,0.7,0.06295804615468548
50,0.5,0.7,0.057429667751732166
51,0.7,0.7,0.08866318718289112
52,1,0.7,0.07754278128352943
53,1.5,0.7,0.07284184109549183
54,2,0.7,0.05992107512411573
55,0.01,1,0.08378039244212479
56,0.05,1,0.07613340849988179
57,0.1,1,0.06355816617869028
58,0.3,1,0.11255887541144592
59,0.5,1,0.06424012075142302
60,0.7,1,0.06273072796377457
61,1,1,0.0685137027405481
62,1.5,1,0.05751150230046009
63,2,1,0.09609194566185965
64,0.01,1.5,0.06463110803978978
65,0.05,1.5,0.0758333484878794
66,0.1,1.5,0.08539889796141047
67,0.3,1.5,0.06803178817581698
68,0.5,1.5,0.08529887795740966
69,0.7,1.5,0.06412191529214933
70,1,1.5,0.07110513011693248
71,1.5,1.5,0.06786811907836113
72,2,1.5,0.08027969230209678
73,0.01,2,0.06265798614268309
74,0.05,2,0.0768335485278874
75,0.1,2,0.06855007365109385
76,0.3,2,0.05048282383749477
77,0.5,2,0.05155576569859426
78,0.7,2,0.10729418610994926
79,1,2,0.045554565458546255
80,1.5,2,0.10547564058266198
81,2,2,0.05318336394551638
